################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.4823427931209057E-01 a         1     0     1     1     1
 -4.1131484187415507E-01 a         2     0     1     1     2
  1.2106005187352625E-01 a         3     0     1     1     3
  9.7065412821633101E-01 a         4     0     1     1     4
 -7.4564636942636631E-01 a         5     0     1     1     5
 -4.4585046684436341E-01 a         6     0     1     1     6
  5.4317948940363148E-01 a         7     0     1     1     7
  1.0261400267104641E-02 a         8     0     1     1     8
  4.2145891265143642E-01 a         9     0     1     1     9
  7.4564572919430605E-01 a        10     0     1     1    10
  5.5808233876752003E-02 a        11     0     1     1    11
 -4.5795753001255562E-01 a        12     0     1     1    12
  9.7871861331436227E-01 a        13     0     1     1    13
 -6.0439434292297889E-01 a        14     0     1     1    14
 -6.0802078928194658E-01 a        15     0     1     1    15
 -1.3753163059045685E+00 a        16     0     1     1    16
 -6.3961400929447942E-01 a        17     0     1     1    17
 -7.7939236720412219E-01 a        18     0     1     1    18
 -6.6982340867984069E-01 a        19     0     1     1    19
  1.1336962485097274E-01 a        20     0     1     1    20
  5.6155551894272349E-01 a        21     0     2     1     1
  1.8255196160256501E-01 a        22     0     2     1     2
  8.0303377255822106E-01 a        23     0     2     1     3
 -3.8154214755896898E-01 a        24     0     2     1     4
  1.7290312563455146E-01 a        25     0     2     1     5
  1.2486023158440740E-01 a        26     0     2     1     6
 -2.0051437093926641E-01 a        27     0     2     1     7
  3.2706202626390052E-01 a        28     0     2     1     8
 -4.6737250048843948E-01 a        29     0     2     1     9
 -2.1632552258274582E-01 a        30     0     2     1    10
  5.3448074755064723E-01 a        31     0     2     1    11
 -5.1285815895809030E-02 a        32     0     2     1    12
  8.0861252949372531E-01 a        33     0     2     1    13
  4.2940338050433940E-01 a        34     0     2     1    14
 -2.9613667300033325E-01 a        35     0     2     1    15
  3.7387081333855564E-03 a        36     0     2     1    16
  1.6756023655292365E-01 a        37     0     2     1    17
