################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   3.6922240183932642E-02   2.8442876174161835E+00   1.6669953348022015E+00   6.6490437093633215E-01
         1          2   4.0554341220319839E-01   2.5526159268516992E+00   2.1673090587005794E+00   3.7856177086501730E-01
         1          3   7.6977893334520364E-01   3.7568379087260784E+00   1.7964034713899026E+00   5.8553189837015363E-01
         1          4   1.3803221539126782E+00   5.7185377414542113E+00   2.7363486878674466E+00   7.8604115612232472E-01
         1          5   3.7446463028632810E+00   6.3999211824673417E+00   5.3375044584132993E+00   4.2616244588207380E-01
         1          6   3.6696240975710839E+00   7.7753794019567817E+00   6.2056192723829193E+00   8.3437190384106230E-01
         1          7   2.5306303798137946E+00   4.5051416133192994E+00   3.9895636939209025E+00   3.5713151322187475E-01
         1          8   1.4544280679760824E+00   2.1816219752996702E+00   1.6813363237307888E+00   1.1386344794071714E-01
         1          9   4.3419769010924714E-01   8.5812875872320582E-01   5.8994430826195365E-01   6.9643831260687780E-02
         1         10   1.2442866227944663E-01   2.2258568286281799E-01   1.6355993447297285E-01   1.5288459474422596E-02
         1         11   3.6940513070082726E-01   2.4649777187457307E+00   1.2275072399372082E+00   3.4852793592469783E-01
         1         12   1.3800863906147212E+00   4.2318465946056687E+00   2.9839184808051380E+00   5.4262652537335787E-01
         1         13   4.6284055096031611E-02   1.0698400414392197E+00   3.3405190361670628E-01   1.4757606368465728E-01
         1         14   8.2742258425631521E-01   3.0028921842938301E+00   1.8309204423457752E+00   3.9250255737839296E-01
