################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.7104697363756111E-01 a         1     0     1     1     1
  2.0672345305061526E-02 a         2     0     1     1     2
 -7.9836457521643411E-01 a         3     0     1     1     3
 -7.2092478527360759E-01 a         4     0     1     1     4
 -7.2265986344277844E-01 a         5     0     1     1     5
  1.4701876309940387E-01 a         6     0     1     1     6
 -5.0579352452776805E-01 a         7     0     1     1     7
  5.9549533013238554E-01 a         8     0     1     1     8
  3.4715840200146486E-01 a         9     0     1     1     9
  1.2395331826657421E+00 a        10     0     1     1    10
 -7.1692456354223166E-01 a        11     0     1     1    11
 -3.2256636260271898E-01 a        12     0     1     1    12
  1.9050202044918371E-01 a        13     0     1     1    13
 -1.5672547697465719E-01 a        14     0     1     1    14
 -4.6777652668589198E-01 a        15     0     1     1    15
  1.8269980289820575E-01 a        16     0     1     1    16
 -1.0287272062067119E+00 a        17     0     1     1    17
 -5.0128008932821200E-01 a        18     0     1     1    18
  1.0911519096389599E-01 a        19     0     1     1    19
  3.3123694106803081E-01 a        20     0     1     1    20
 -5.7966310807389299E-01 a        21     0     2     1     1
 -5.4252830833554355E-01 a        22     0     2     1     2
  4.5523640988886210E-01 a        23     0     2     1     3
  4.5830856230774028E-02 a        24     0     2     1     4
 -3.9500824328614514E-01 a        25     0     2     1     5
  3.1174078282645723E-01 a        26     0     2     1     6
  2.8780657808525711E-01 a        27     0     2     1     7
 -2.4433919339160676E-01 a        28     0     2     1     8
 -6.0248050108238471E-01 a        29     0     2     1     9
  6.8287602057259944E-01 a        30     0     2     1    10
 -9.8743072191435310E-01 a        31     0     2     1    11
  3.7699701424700394E-01 a        32     0     2     1    12
  6.2126449229243363E-01 a        33     0     2     1    13
  8.0075536044133278E-01 a        34     0     2     1    14
 -3.0253308990030442E-01 a        35     0     2     1    15
  4.8912237392798492E-02 a        36     0     2     1    16
