################################################################################
# Kalman filter status report.
################################################################################
# Col  Name     Description
################################################################################
# 1    epoch    Training epoch.
# 2    nupdates Number of updates performed.
# 3    Pdiag    Mean of absolute diagonal values of error covariance matrix P.
# 4    Poffdiag Mean of absolute off-diagonal values of error covariance matrix P.
# 5    Pasym    Asymmetry of P, i.e. mean of absolute values of asymmetric part 0.5*(P - P^T).
# 6    Kmean    Mean of abolute compontents of Kalman gain matrix K.
# 7    q        Magnitude of process noise (= diagonal entries of Q).
# 8    eta      Learning rate.
###########################################################################################################################
#        1          2                3                4                5                6                7                8
#    epoch   nupdates            Pdiag         Poffdiag            Pasym            Kmean                q              eta
###########################################################################################################################
         0          0   1.00000000E+02   0.00000000E+00   0.00000000E+00   0.00000000E+00   1.00000000E-02   1.00000000E-02
         1        104   8.45817732E+01   5.41720869E-01   6.20723107E-13   1.32799957E-02   1.00058526E-03   9.99415078E-02
         2        208   7.10653133E+01   6.30695162E-01   8.02379207E-13   5.87391245E-02   1.00117087E-04   9.98830498E-01
         3        312   6.12627306E+01   6.17112220E-01   1.13098342E-12   3.34991964E-02   1.00175682E-05   1.02118573E+00
         4        416   5.63009614E+01   5.95733201E-01   1.60082217E-12   2.89045016E-02   1.00234311E-06   1.02118573E+00
         5        520   5.29847224E+01   5.77638470E-01   2.08063206E-12   2.09095073E-02   9.80400376E-07   1.02118573E+00
         6        624   5.07754285E+01   5.63832435E-01   2.24832467E-12   3.45349794E-02   9.80400376E-07   1.02118573E+00
         7        728   4.90010770E+01   5.51035905E-01   2.42419953E-12   1.41682763E-02   9.80400376E-07   1.02118573E+00
         8        832   4.77267080E+01   5.41292948E-01   2.47462651E-12   1.51361855E-02   9.80400376E-07   1.02118573E+00
         9        936   4.65664898E+01   5.32647513E-01   2.52390187E-12   1.32962056E-02   9.80400376E-07   1.02118573E+00
        10       1040   4.57280804E+01   5.26907254E-01   2.52916876E-12   1.17197900E-02   9.80400376E-07   1.02118573E+00
        11       1144   4.49281422E+01   5.21253138E-01   2.53416868E-12   1.30347396E-02   9.80400376E-07   1.02118573E+00
        12       1248   4.42257034E+01   5.16568849E-01   2.54421153E-12   1.08415618E-02   9.80400376E-07   1.02118573E+00
        13       1352   4.35250659E+01   5.12153735E-01   2.55309397E-12   1.03395981E-02   9.80400376E-07   1.02118573E+00
        14       1456   4.29101532E+01   5.07986452E-01   2.55449343E-12   1.98111869E-02   9.80400376E-07   1.02118573E+00
        15       1560   4.23475384E+01   5.04356469E-01   2.55588460E-12   1.54156687E-02   9.80400376E-07   1.02118573E+00
        16       1664   4.18280537E+01   5.01264639E-01   2.55610009E-12   1.14604244E-02   9.80400376E-07   1.02118573E+00
        17       1768   4.13659760E+01   4.98127412E-01   2.55704341E-12   1.08564786E-02   9.80400376E-07   1.02118573E+00
        18       1872   4.09140348E+01   4.95284930E-01   2.55733905E-12   1.03872494E-02   9.80400376E-07   1.02118573E+00
        19       1976   4.04836095E+01   4.92291790E-01   2.55777321E-12   1.00486150E-02   9.80400376E-07   1.02118573E+00
        20       2080   4.00945003E+01   4.89824452E-01   2.55786684E-12   1.52275704E-02   9.80400376E-07   1.02118573E+00
        21       2184   3.96857626E+01   4.87377234E-01   2.55801063E-12   9.07739028E-03   9.80400376E-07   1.02118573E+00
        22       2288   3.93099588E+01   4.84780213E-01   2.55849668E-12   1.08583590E-02   9.80400376E-07   1.02118573E+00
        23       2392   3.89563510E+01   4.82302260E-01   2.55870523E-12   7.65621979E-03   9.80400376E-07   1.02118573E+00
        24       2496   3.86224070E+01   4.79960084E-01   2.55868015E-12   8.96991042E-03   9.80400376E-07   1.02118573E+00
        25       2600   3.83048571E+01   4.77606406E-01   2.55889356E-12   8.27024405E-03   9.80400376E-07   1.02118573E+00
        26       2704   3.79816821E+01   4.75268943E-01   2.55911357E-12   8.63904796E-03   9.80400376E-07   1.02118573E+00
        27       2808   3.76950952E+01   4.73217041E-01   2.55930423E-12   8.21804037E-03   9.80400376E-07   1.02118573E+00
        28       2912   3.73975449E+01   4.70975762E-01   2.55934200E-12   6.85751662E-03   9.80400376E-07   1.02118573E+00
        29       3016   3.71054436E+01   4.68829562E-01   2.55941936E-12   7.60555342E-03   9.80400376E-07   1.02118573E+00
        30       3120   3.68276416E+01   4.66905612E-01   2.55950754E-12   1.05530883E-02   9.80400376E-07   1.02118573E+00
        31       3224   3.65546409E+01   4.64967187E-01   2.55966251E-12   8.54969430E-03   9.80400376E-07   1.02118573E+00
        32       3328   3.62939942E+01   4.63127526E-01   2.55971276E-12   9.03831863E-03   9.80400376E-07   1.02118573E+00
        33       3432   3.60268610E+01   4.61203034E-01   2.55974624E-12   1.36068192E-02   9.80400376E-07   1.02118573E+00
        34       3536   3.57720308E+01   4.59251802E-01   2.55996544E-12   7.88837603E-03   9.80400376E-07   1.02118573E+00
        35       3640   3.55342821E+01   4.57502054E-01   2.56005861E-12   1.14902712E-02   9.80400376E-07   1.02118573E+00
        36       3744   3.53004759E+01   4.55761306E-01   2.56006775E-12   7.91018718E-03   9.80400376E-07   1.02118573E+00
        37       3848   3.50583830E+01   4.53849565E-01   2.56007688E-12   8.29610793E-03   9.80400376E-07   1.02118573E+00
        38       3952   3.48273646E+01   4.52086687E-01   2.56014854E-12   6.98765025E-03   9.80400376E-07   1.02118573E+00
        39       4056   3.46095240E+01   4.50461509E-01   2.56016460E-12   8.11640590E-03   9.80400376E-07   1.02118573E+00
        40       4160   3.43979265E+01   4.48821423E-01   2.56019650E-12   6.70469557E-03   9.80400376E-07   1.02118573E+00
        41       4264   3.41931985E+01   4.47304109E-01   2.56018302E-12   7.14547446E-03   9.80400376E-07   1.02118573E+00
        42       4368   3.39744870E+01   4.45610821E-01   2.56027171E-12   6.77904263E-03   9.80400376E-07   1.02118573E+00
        43       4472   3.37695133E+01   4.44020239E-01   2.56034084E-12   7.21796659E-03   9.80400376E-07   1.02118573E+00
        44       4576   3.35700717E+01   4.42385095E-01   2.56037234E-12   7.86508539E-03   9.80400376E-07   1.02118573E+00
        45       4680   3.33671253E+01   4.40715581E-01   2.56042016E-12   8.38868491E-03   9.80400376E-07   1.02118573E+00
        46       4784   3.31824598E+01   4.39152727E-01   2.56045251E-12   8.78288820E-03   9.80400376E-07   1.02118573E+00
        47       4888   3.29873749E+01   4.37498166E-01   2.56045240E-12   6.19370765E-03   9.80400376E-07   1.02118573E+00
        48       4992   3.28067072E+01   4.36011777E-01   2.56058529E-12   6.93184125E-03   9.80400376E-07   1.02118573E+00
        49       5096   3.26367614E+01   4.34551225E-01   2.56056781E-12   6.70452915E-03   9.80400376E-07   1.02118573E+00
        50       5200   3.24562225E+01   4.33063234E-01   2.56058794E-12   5.69803259E-03   9.80400376E-07   1.02118573E+00
