################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   8.5178565187342556E-02   2.8442876174161835E+00   2.0305163238244948E+00   6.9972648780780933E-01
         1          2   6.8594571632058221E-01   2.5100937764458124E+00   2.2057680316383443E+00   3.5847108416470902E-01
         1          3   7.6977893334520364E-01   3.6025117484410485E+00   1.4867767966122689E+00   5.7451185488592604E-01
         1          4   1.5858722542305075E+00   4.8377069326084960E+00   2.5346469575379507E+00   6.9636128974410727E-01
         1          5   3.7844680483055826E+00   6.3999211824673417E+00   5.6445380690346818E+00   4.9168681199900288E-01
         1          6   3.9716670917699295E+00   7.7753794019567817E+00   6.7123185839386483E+00   9.5437998579402072E-01
         1          7   2.7697595644522215E+00   4.4847171563073545E+00   4.0921754773231651E+00   3.5661671238955128E-01
         1          8   1.4629086207272592E+00   2.0244519763661128E+00   1.6246174834771394E+00   1.0130821328472790E-01
         1          9   4.6565696830658332E-01   7.8486322791574170E-01   5.7796988200131738E-01   5.4326491059582163E-02
         1         10   1.2990825350069607E-01   2.0017647663119817E-01   1.6669705409293303E-01   1.0991628261014200E-02
         1         11   4.2864984208798734E-01   2.2863281411251468E+00   1.3667146426540264E+00   3.5406014281387566E-01
         1         12   1.4374752602154088E+00   4.2318465946056687E+00   3.3483436836517639E+00   6.4697250519873239E-01
         1         13   6.4349552154852982E-02   9.1832471267396809E-01   3.4555360993863549E-01   1.2642141549057129E-01
         1         14   8.8132813428045897E-01   2.9901348905795180E+00   2.0054314142232679E+00   4.3310049762982855E-01
