################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.2354170482753597E-01 a         1     0     1     1     1
  8.3787961758804186E-01 a         2     0     1     1     2
 -2.5153516970017820E-01 a         3     0     1     1     3
 -5.8016183454387596E-02 a         4     0     1     1     4
  4.6995541821557435E-02 a         5     0     1     1     5
  1.5900628869666752E-01 a         6     0     1     1     6
  1.5510440296170896E-01 a         7     0     1     1     7
  2.2552282746166480E-01 a         8     0     1     1     8
  9.1113055683272015E-01 a         9     0     1     1     9
  8.0113625058401472E-01 a        10     0     1     1    10
  5.2297537249833048E-01 a        11     0     1     1    11
  3.3782093134446217E-01 a        12     0     1     1    12
  7.1932226653533896E-02 a        13     0     1     1    13
  3.2958788469393391E-01 a        14     0     1     1    14
 -3.3448617665230712E-01 a        15     0     1     1    15
  5.5012615128386977E-01 a        16     0     1     1    16
 -2.1051268763984976E-01 a        17     0     1     1    17
  6.1798721595266126E-01 a        18     0     1     1    18
 -4.8183786852703636E-01 a        19     0     1     1    19
  4.8337485286657475E-02 a        20     0     1     1    20
 -3.1428158030974473E-01 a        21     0     2     1     1
 -5.2159225886794593E-02 a        22     0     2     1     2
  2.8930147686006182E-02 a        23     0     2     1     3
  9.0217577715622999E-02 a        24     0     2     1     4
 -1.6998949222623902E-01 a        25     0     2     1     5
  3.7040449754406224E-01 a        26     0     2     1     6
 -4.0132632680249464E-01 a        27     0     2     1     7
 -1.4378601140113181E-01 a        28     0     2     1     8
 -4.3641988018012151E-01 a        29     0     2     1     9
 -4.8843186705137093E-01 a        30     0     2     1    10
  2.3848944694997987E-01 a        31     0     2     1    11
  5.3101524249067666E-01 a        32     0     2     1    12
  4.7461531380989513E-01 a        33     0     2     1    13
 -3.6923034071430022E-01 a        34     0     2     1    14
  2.7485310870382773E-01 a        35     0     2     1    15
 -2.5010498894722399E-01 a        36     0     2     1    16
  1.9424116957865717E-01 a        37     0     2     1    17
  1.2698241793228715E-01 a        38     0     2     1    18
  4.7878734665303857E-01 a        39     0     2     1    19
  2.7266081022861349E-02 a        40     0     2     1    20
 -6.2615225733813407E-01 a        41     0     3     1     1
 -6.6109083916900491E-01 a        42     0     3     1     2
  7.4050858736935787E-01 a        43     0     3     1     3
  8.5337267438275288E-01 a        44     0     3     1     4
  5.9604864556949277E-01 a        45     0     3     1     5
 -1.8980137220187429E-01 a        46     0     3     1     6
  3.2325022889035426E-01 a        47     0     3     1     7
  2.1545692581933673E-02 a        48     0     3     1     8
  2.3073295309615241E-01 a        49     0     3     1     9
  2.1375096003464675E-01 a        50     0     3     1    10
 -1.5461524641825911E-01 a        51     0     3     1    11
 -2.8856880572469817E-01 a        52     0     3     1    12
  6.1458821350059989E-01 a        53     0     3     1    13
  4.1499375615502565E-01 a        54     0     3     1    14
 -3.5027207445441100E-01 a        55     0     3     1    15
  5.9996015679548742E-01 a        56     0     3     1    16
 -5.8575819412610024E-02 a        57     0     3     1    17
  3.8676081735936535E-02 a        58     0     3     1    18
 -4.6134796114714299E-01 a        59     0     3     1    19
  1.0637788377117270E+00 a        60     0     3     1    20
  1.9725737257876741E-01 a        61     0     4     1     1
 -4.6478965880097134E-01 a        62     0     4     1     2
 -2.5498804657075302E-01 a        63     0     4     1     3
 -1.8937418766987596E-01 a        64     0     4     1     4
 -4.9725787412415873E-01 a        65     0     4     1     5
  6.1662408639778943E-01 a        66     0     4     1     6
  3.4190360903385814E-01 a        67     0     4     1     7
  1.8052452637164082E-01 a        68     0     4     1     8
  2.0794111682380126E-01 a        69     0     4     1     9
  6.2464564078076001E-01 a        70     0     4     1    10
 -4.2250948145907669E-01 a        71     0     4     1    11
 -3.3443433947779749E-01 a        72     0     4     1    12
 -1.8551667271777827E-01 a        73     0     4     1    13
  2.2487672671228676E-01 a        74     0     4     1    14
 -8.1732952535412540E-01 a        75     0     4     1    15
  1.4206803225795001E-02 a        76     0     4     1    16
 -1.8183441132508923E-01 a        77     0     4     1    17
 -3.4956679593608370E-01 a        78     0     4     1    18
 -3.8140518274255125E-01 a        79     0     4     1    19
 -7.7947943049803858E-01 a        80     0     4     1    20
  6.6794282437015839E-01 a        81     0     5     1     1
 -4.0871635172822129E-01 a        82     0     5     1     2
  5.0468461952317878E-01 a        83     0     5     1     3
 -2.0023458311259157E-01 a        84     0     5     1     4
  1.7456559477120326E-01 a        85     0     5     1     5
 -6.2565254073720850E-02 a        86     0     5     1     6
  4.8787718711691808E-01 a        87     0     5     1     7
