################################################################################
# Kalman filter status report.
################################################################################
# Col  Name     Description
################################################################################
# 1    epoch    Training epoch.
# 2    nupdates Number of updates performed.
# 3    Pdiag    Mean of absolute diagonal values of error covariance matrix P.
# 4    Poffdiag Mean of absolute off-diagonal values of error covariance matrix P.
# 5    Pasym    Asymmetry of P, i.e. mean of absolute values of asymmetric part 0.5*(P - P^T).
# 6    Kmean    Mean of abolute compontents of Kalman gain matrix K.
# 7    q        Magnitude of process noise (= diagonal entries of Q).
# 8    eta      Learning rate.
###########################################################################################################################
#        1          2                3                4                5                6                7                8
#    epoch   nupdates            Pdiag         Poffdiag            Pasym            Kmean                q              eta
###########################################################################################################################
         0          0   1.00000000E+02   0.00000000E+00   0.00000000E+00   0.00000000E+00   1.00000000E-02   1.00000000E-02
         1         85   8.44744821E+01   5.38641431E-01   4.47020340E-13   1.43556468E-02   1.00058526E-03   9.99415078E-02
         2        170   7.07443153E+01   6.16244458E-01   5.76871969E-13   5.82052036E-02   1.00117087E-04   9.98830498E-01
         3        255   6.16849537E+01   6.07889034E-01   1.08320373E-12   3.31359390E-02   1.00175682E-05   1.02625081E+00
         4        340   5.66614150E+01   5.95069833E-01   2.01623390E-12   2.83990964E-02   1.00234311E-06   1.02625081E+00
         5        425   5.32547267E+01   5.76478763E-01   2.55233405E-12   2.54748717E-02   9.75561593E-07   1.02625081E+00
         6        510   5.07490109E+01   5.60976312E-01   2.86041761E-12   3.52805796E-02   9.75561593E-07   1.02625081E+00
         7        595   4.89539566E+01   5.49020363E-01   3.01114620E-12   1.96926371E-02   9.75561593E-07   1.02625081E+00
         8        680   4.75567943E+01   5.39860801E-01   3.08327133E-12   1.60842614E-02   9.75561593E-07   1.02625081E+00
         9        765   4.63499774E+01   5.31194724E-01   3.13235004E-12   1.67233444E-02   9.75561593E-07   1.02625081E+00
        10        850   4.53446708E+01   5.24225754E-01   3.14625032E-12   1.64469234E-02   9.75561593E-07   1.02625081E+00
        11        935   4.45322455E+01   5.18074244E-01   3.15273349E-12   1.48028795E-02   9.75561593E-07   1.02625081E+00
        12       1020   4.38540633E+01   5.13401914E-01   3.15588244E-12   1.23935233E-02   9.75561593E-07   1.02625081E+00
        13       1105   4.32203465E+01   5.09269488E-01   3.15738392E-12   1.38175856E-02   9.75561593E-07   1.02625081E+00
        14       1190   4.26825516E+01   5.05931519E-01   3.15843523E-12   1.76363468E-02   9.75561593E-07   1.02625081E+00
        15       1275   4.21636890E+01   5.02614350E-01   3.15872424E-12   1.29480146E-02   9.75561593E-07   1.02625081E+00
