################################################################################
# Neighbor statistics for each structure.
################################################################################
# Col  Name   Description
################################################################################
# 1    struct Index of structure (starting with 1).
# 2    natoms Number of atoms in structure.
# 3    min    Minimum number of neighbors over all atoms.
# 4    max    Maximum number of neighbors over all atoms.
# 5    mean   Mean number of neighbors over all atoms.
################################################################################
#        1          2          3          4                5
#   struct     natoms        min        max             mean
############################################################
        28         64        283        319   3.01593750E+02
        45         64        303        329   3.15187500E+02
        53         64        296        324   3.10031250E+02
        57         64        295        329   3.11437500E+02
        64         64        246        273   2.57875000E+02
        73         64        244        272   2.56500000E+02
        89         64        291        325   3.08406250E+02
        96         64        282        321   3.00875000E+02
       118         64        248        272   2.60312500E+02
         5         64        330        350   3.42375000E+02
        14         64        328        351   3.41968750E+02
        18         64        294        328   3.12593750E+02
        30         64        279        334   3.05843750E+02
        42         64        295        330   3.14125000E+02
        78         64        301        332   3.16750000E+02
        88         64        292        323   3.08843750E+02
        91         64        304        337   3.20406250E+02
        93         64        290        324   3.04656250E+02
       114         64        253        284   2.66625000E+02
        11         64        326        350   3.39656250E+02
        35         64        290        339   3.09906250E+02
        37         64        317        353   3.35468750E+02
        80         64        288        339   3.10437500E+02
       123         64        290        323   3.05187500E+02
       126         64        299        335   3.15937500E+02
       128         64        295        330   3.09906250E+02
       141         64        283        320   3.02093750E+02
       152         64        302        341   3.21593750E+02
       154         64        286        320   3.03531250E+02
         3         64        292        331   3.08937500E+02
        10         64        331        351   3.43000000E+02
        16         64        329        348   3.38531250E+02
        43         64        294        330   3.13750000E+02
        47         64        301        341   3.19593750E+02
        70         64        291        327   3.12656250E+02
        86         64        286        325   3.00781250E+02
       100         64        261        280   2.71531250E+02
       109         64        247        274   2.61593750E+02
       121         64        290        328   3.07312500E+02
         1         64        244        278   2.61781250E+02
        15         64        329        354   3.41781250E+02
        19         64        329        353   3.43625000E+02
        27         64        299        333   3.15687500E+02
        29         64        282        317   3.00468750E+02
        31         64        294        327   3.10125000E+02
        65         64        289        331   3.06687500E+02
        92         64        255        284   2.71906250E+02
        95         64        254        287   2.69125000E+02
        98         64        323        352   3.38562500E+02
        33         64        295        332   3.12937500E+02
        56         64        285        319   3.00750000E+02
        82         64        286        332   3.08000000E+02
       116         64        290        335   3.10468750E+02
       124         64        333        351   3.42406250E+02
       129         64        333        355   3.43718750E+02
       130         64        330        356   3.42937500E+02
       134         64        291        328   3.10531250E+02
       135         64        292        328   3.09500000E+02
       140         64        308        347   3.22781250E+02
        17         64        298        341   3.18687500E+02
        79         64        290        339   3.09250000E+02
       104         64        282        313   2.93125000E+02
       106         64        281        314   2.95406250E+02
       117         64        289        328   3.09468750E+02
       137         64        304        346   3.25656250E+02
       148         64        291        329   3.06875000E+02
       151         64        286        334   3.12781250E+02
       155         64        282        318   3.00937500E+02
       156         64        323        352   3.37687500E+02
         9         64        331        358   3.43593750E+02
        24         64        292        324   3.05562500E+02
        46         64        285        321   3.02687500E+02
        75         64        293        327   3.10656250E+02
        87         64        296        331   3.12062500E+02
        94         64        254        286   2.69343750E+02
       132         64        309        354   3.31843750E+02
       136         64        302        336   3.19281250E+02
       142         64        304        339   3.20375000E+02
       146         64        305        342   3.22718750E+02
        22         64        283        315   2.98843750E+02
        40         64        295        334   3.19718750E+02
        59         64        241        269   2.56125000E+02
        83         64        296        331   3.10812500E+02
       120         64        294        327   3.08125000E+02
       139         64        302        336   3.19093750E+02
       145         64        289        329   3.09031250E+02
       147         64        297        331   3.13093750E+02
       150         64        305        338   3.20593750E+02
       153         64        283        315   3.02812500E+02
        23         64        290        320   3.04843750E+02
        25         64        284        322   3.01500000E+02
        52         64        294        324   3.10562500E+02
        54         64        291        322   3.07843750E+02
        55         64        281        323   3.05218750E+02
        74         64        295        329   3.14687500E+02
        76         64        285        324   3.01968750E+02
        84         64        298        340   3.21187500E+02
       103         64        277        310   2.90343750E+02
       119         64        300        331   3.13218750E+02
         6         64        327        354   3.40937500E+02
        21         64        280        317   2.99281250E+02
        48         64        303        343   3.19906250E+02
        61         64        255        282   2.69531250E+02
        68         64        287        324   3.04343750E+02
        99         64        246        271   2.59343750E+02
       105         64        279        312   2.92968750E+02
       115         64        288        329   3.08437500E+02
       125         64        307        344   3.24875000E+02
       131         64        331        357   3.43468750E+02
         7         64        261        289   2.75750000E+02
        26         64        286        333   3.13718750E+02
        49         64        298        339   3.20625000E+02
        58         64        289        325   3.06843750E+02
        66         64        245        272   2.58593750E+02
        72         64        285        328   3.05375000E+02
       111         64        308        347   3.24968750E+02
       138         64        287        330   3.10875000E+02
       143         64        304        339   3.21375000E+02
       149         64        304        347   3.25281250E+02
         4         64        331        352   3.42625000E+02
        12         64        254        284   2.71062500E+02
        51         64        299        333   3.17437500E+02
        67         64        287        326   3.04281250E+02
        85         64        286        329   3.02531250E+02
       107         64        279        310   2.92750000E+02
       122         64        289        325   3.07718750E+02
       127         64        286        321   3.03375000E+02
       133         64        288        324   3.03156250E+02
       144         64        294        325   3.08218750E+02
         8         64        333        356   3.42875000E+02
        32         64        291        324   3.04062500E+02
        34         64        299        334   3.15312500E+02
        50         64        298        333   3.16156250E+02
        60         64        281        315   2.97375000E+02
        69         64        279        317   3.00500000E+02
        81         64        287        337   3.10312500E+02
       101         64        295        331   3.14187500E+02
       112         64        248        277   2.65718750E+02
        13         64        333        353   3.42562500E+02
        20         64        328        349   3.40625000E+02
        36         64        290        328   3.07750000E+02
        62         64        263        287   2.72781250E+02
        71         64        263        281   2.73343750E+02
        90         64        278        323   3.03031250E+02
       108         64        286        321   3.05812500E+02
       110         64        285        326   3.03343750E+02
       113         64        248        277   2.66250000E+02
         2         64        282        322   3.00843750E+02
        38         64        289        323   3.08250000E+02
        39         64        280        321   3.05718750E+02
        41         64        290        329   3.07593750E+02
        44         64        297        331   3.15125000E+02
        63         64        285        316   3.02468750E+02
        77         64        299        334   3.16656250E+02
        97         64        290        322   3.05906250E+02
       102         64        299        334   3.15593750E+02
